Angle 0-360	Magnitude
53.016045	0.000000
54.175884	0.000000
52.252216	0.000000
49.206436	0.000000
46.648983	0.000000
49.590179	0.000000
48.648666	0.000000
47.783779	0.000000
45.579998	0.000000
46.495235	0.000000
48.704250	0.000000
46.011524	0.000000
43.292656	0.000000
40.009644	0.000000
43.448780	0.000000
45.689316	0.000000
47.482929	0.000000
46.163471	0.000000
48.750378	0.000000
51.266457	0.000000
52.344723	0.000000
52.561920	0.000000
58.545277	0.000000
56.710278	0.000000
53.434052	0.000000
55.432961	0.000000
55.454765	0.000000
54.043026	0.000000
52.164818	0.000000
53.303226	0.000000
53.650318	0.000000
52.226612	0.000000
52.204742	0.000000
56.709286	0.000000
53.578732	0.000000
51.200241	0.000000
51.770710	0.000000
49.759396	0.000000
51.166656	0.000000
51.751392	0.000000
51.117973	0.000000
48.442589	0.000000
47.926365	0.000000
47.131470	0.000000
42.441578	0.000000
39.456341	0.000000
43.139069	0.000000
45.809967	0.000000
48.075260	0.000000
49.672493	0.000000
51.747955	0.000000
53.203838	0.000000
52.152977	0.000000
53.550835	0.000000
52.045856	0.000000
47.128296	0.000000
45.537964	0.000000
46.273037	0.000000
52.111774	0.000000
51.134777	0.000000
49.524868	0.000000
51.760487	0.000000
53.931179	0.000000
54.900047	0.000000
52.814857	0.000000
53.931049	0.000000
49.826870	0.000000
47.714947	0.000000
48.332771	0.000000
48.846752	0.000000
47.091011	0.000000
49.607929	0.000000
47.982227	0.000000
45.970478	0.000000
45.362183	0.000000
43.265305	0.000000
38.883423	0.000000
37.376137	0.000000
38.994240	0.000000
44.259281	0.000000
44.785732	0.000000
45.132553	0.000000
45.882652	0.000000
49.298641	0.000000
52.469887	0.000000
49.806667	0.000000
48.040081	0.000000
44.418266	0.000000
45.665646	0.000000
48.399250	0.000000
49.728695	0.000000
50.178188	0.000000
48.427910	0.000000
48.868225	0.000000
50.335159	0.000000
48.833736	0.000000
53.420521	0.000000
48.651905	0.000000
47.152252	0.000000
46.788898	0.000000
48.807068	0.000000
47.278027	0.000000
46.674252	0.000000
44.186256	0.000000
43.728245	0.000000
44.100483	0.000000
42.903076	0.000000
42.094055	0.000000
39.593582	0.000000
38.607300	0.000000
41.896252	0.000000
44.614040	0.000000
45.702251	0.000000
46.875698	0.000000
44.415806	0.000000
46.882614	0.000000
50.574661	0.000000
48.958206	0.000000
52.017170	0.000000
47.088829	0.000000
46.234516	0.000000
48.095005	0.000000
47.032097	0.000000
47.774445	0.000000
48.515743	0.000000
49.474258	0.000000
