Angle 0-360	Magnitude
53.581802	1.667221
47.255650	1.544898
50.113224	1.506885
49.261517	1.579928
49.215801	1.523449
47.942055	1.552908
46.190468	1.517125
46.473930	1.493521
45.050827	1.394920
45.180408	1.359397
41.340763	1.304579
39.821533	1.169391
38.374348	1.146098
40.501270	1.260549
45.360775	1.379062
46.146053	1.420792
45.571732	1.438136
47.734161	1.463520
49.603146	1.466777
51.938263	1.512965
55.562767	1.601239
53.851051	1.547068
55.139912	1.557680
51.355061	1.497950
52.134113	1.494642
53.832821	1.533251
53.657349	1.557922
52.480579	1.547773
50.851337	1.526649
50.845943	1.402848
53.298016	1.528557
55.721371	1.760617
52.270454	1.629718
49.923977	1.531420
50.286686	1.588050
49.521805	1.598721
50.471397	1.558778
49.775192	1.555474
48.216835	1.428820
46.548618	1.432630
46.859760	1.380039
45.101318	1.289994
40.609959	1.178614
38.865864	1.122040
41.187202	1.157629
43.720432	1.304335
45.425087	1.432382
45.645039	1.414225
50.292908	1.492408
52.411263	1.495419
51.808594	1.438948
50.451664	1.476439
52.577812	1.497116
50.760475	1.497488
46.649345	1.365729
46.328922	1.329594
48.784725	1.389778
50.204742	1.491363
51.538605	1.540124
52.155159	1.498880
51.991810	1.441147
52.819607	1.396446
53.200447	1.542246
52.571159	1.754434
48.875164	1.609340
46.664761	1.600462
47.044022	1.567942
44.592239	1.526230
43.941334	1.471618
43.757084	1.438653
44.665386	1.534632
45.230572	1.523524
44.328842	1.429426
44.069561	1.387150
40.790977	1.270855
38.716988	1.153327
40.999908	1.180391
42.200298	1.277193
46.228756	1.302556
49.140625	1.314863
52.353104	1.389305
54.869831	1.567410
54.058601	1.600466
52.361530	1.614490
48.402283	1.500233
47.275898	1.508852
46.700153	1.462351
49.889759	1.470192
51.009521	1.541662
48.830517	1.590286
48.170254	1.540881
48.543537	1.500096
49.862484	1.460593
48.586140	1.505357
51.161610	1.742767
49.143917	1.671011
48.629059	1.544265
49.103424	1.556810
48.998756	1.625533
48.836746	1.620582
48.489044	1.528839
46.014694	1.458066
48.331371	1.556569
45.866211	1.541008
44.988579	1.443348
44.298534	1.289793
40.386894	1.254875
39.480461	1.184255
42.554253	1.305324
45.747883	1.370834
47.246994	1.420639
44.522896	1.387458
43.188595	1.350831
47.049168	1.481109
49.958885	1.573306
49.618179	1.508204
51.641331	1.479047
47.777058	1.390897
48.529259	1.426961
46.105957	1.447620
46.013641	1.511602
46.846256	1.535145
49.547855	1.556116
51.366585	1.477743
50.406849	1.457495
52.664474	1.622683
53.250160	1.794396
50.959343	1.591222
48.266201	1.525383
